"","ID","gpa","cm1relf","cm1marf","cm1cohf","m1f8","m1f9","mx1j2","cm1hhinc","cm1hhimp","cm1inpov","cm1povca","m1e3a","cm2mint","cm2fdiff","cm2samp","cm1citsm","cm1bsex","m1a10","cm1fint","m1b0","cm1numb","innatsm","incitysm","m1a4","cf1fint","challengeID","cm1relf.1","cm1marf.1","cm1cohf.1","m1e3a.1","cm1numb.1","m1b0.1","m1f8.1","m1f9.1","mx1j2.1","cf1fint.1","cm2mint.1","cm2fdiff.1","cm2samp.1","cm1hhinc.1","cm1hhimp.1","cm1inpov.1","cm1povca.1","challengeID.1","cm1citsm.1","innatsm.1","m1a10.1","cm1fint.1","cm1bsex.1","m1a4.1","incitysm.1","cm1relf.2","cm1marf.2","cm1bsex.2","cm1numb.2","m1b0.2","cm1hhinc.2","cm1hhimp.2","cm1inpov.2","cm1povca.2","m1f8.2","m1f9.2","mx1j2.2","cf1fint.2","cm2mint.2","cm2fdiff.2","cm2samp.2","cm1cohf.2","m1e3a.2","challengeID.2","cm1citsm.2","m1a4.2","incitysm.2","m1a10.2","cm1fint.2","innatsm.2","incitysm.3","m1a4.3","m1a10.3","cm1bsex.3","cm1numb.3","m1b0.3","challengeID.3","cm1relf.3","cm1marf.3","cm1cohf.3","innatsm.3","m1e3a.3","cm1citsm.3","cm1fint.3","m1f8.3","m1f9.3"
"1841",3633,3.25,7,0,0,1,1,-5,9027.39926954942,4,0.820453673302665,3,2,1,0,-7,1,2,2,0,1,1,1,1,3,0,1841,7,0,0,2,1,1,1,1,-5,0,1,0,-7,9027.39926954942,4,0.820453673302665,3,1841,1,1,2,0,2,3,1,7,0,2,1,1,9027.39926954942,4,0.820453673302665,3,1,1,-5,0,1,0,-7,0,2,1841,1,3,1,2,0,1,1,3,2,2,1,1,1841,7,0,0,1,2,1,0,1,1
"1842",3634,3.25,2,0,1,1,1,-5,37112.1789754414,3,2.77451696977989,4,1,1,0,-7,1,1,2,0,2,1,0,1,2,0,1842,2,0,1,1,1,2,1,1,-5,0,1,0,-7,37112.1789754414,3,2.77451696977989,4,1842,1,0,2,0,1,2,1,2,0,1,1,2,37112.1789754414,3,2.77451696977989,4,1,1,-5,0,1,0,-7,1,1,1842,1,2,1,2,0,0,1,2,2,1,1,2,1842,2,0,1,0,1,1,0,1,1
"1844",3639,3,3,0,0,2,2,-5,39222.4011768086,6,3.8211927159384,5,2,1,0,-7,1,1,2,1,2,1,1,1,2,1,1844,3,0,0,2,1,2,2,2,-5,1,1,0,-7,39222.4011768086,6,3.8211927159384,5,1844,1,1,2,1,1,2,1,3,0,1,1,2,39222.4011768086,6,3.8211927159384,5,2,2,-5,1,1,0,-7,0,2,1844,1,2,1,2,1,1,1,2,2,1,1,2,1844,3,0,0,1,2,1,1,2,2
"1845",3640,3.25,3,0,0,-2,-2,-5,14961.3350025117,4,1.47905221550896,3,2,1,0,-7,1,1,2,0,2,1,1,1,2,0,1845,3,0,0,2,1,2,-2,-2,-5,0,1,0,-7,14961.3350025117,4,1.47905221550896,3,1845,1,1,2,0,1,2,1,3,0,1,1,2,14961.3350025117,4,1.47905221550896,3,-2,-2,-5,0,1,0,-7,0,2,1845,1,2,1,2,0,1,1,2,2,1,1,2,1845,3,0,0,1,2,1,0,-2,-2
"1847",3643,3,2,0,1,2,-2,-5,4618.02603542451,4,0.528901711919914,1,1,0,0,5,1,1,2,1,2,1,1,1,2,1,1847,2,0,1,1,1,2,2,-2,-5,1,0,0,5,4618.02603542451,4,0.528901711919914,1,1847,1,1,2,1,1,2,1,2,0,1,1,2,4618.02603542451,4,0.528901711919914,1,2,-2,-5,1,0,0,5,1,1,1847,1,2,1,2,1,1,1,2,2,1,1,2,1847,2,0,1,1,1,1,1,2,-2
"1851",3650,2,4,0,0,-2,-2,-5,18685.550533497,6,1.12697032567254,3,1,1,0,-7,1,2,2,1,2,1,0,1,2,1,1851,4,0,0,1,1,2,-2,-2,-5,1,1,0,-7,18685.550533497,6,1.12697032567254,3,1851,1,0,2,1,2,2,1,4,0,2,1,2,18685.550533497,6,1.12697032567254,3,-2,-2,-5,1,1,0,-7,0,1,1851,1,2,1,2,1,0,1,2,2,2,1,2,1851,4,0,0,0,1,1,1,-2,-2
"1852",3651,1.5,2,0,1,2,-2,-5,9561.51792697425,4,0.633282995857514,2,2,1,0,-7,1,1,2,1,2,1,1,1,2,1,1852,2,0,1,2,1,2,2,-2,-5,1,1,0,-7,9561.51792697425,4,0.633282995857514,2,1852,1,1,2,1,1,2,1,2,0,1,1,2,9561.51792697425,4,0.633282995857514,2,2,-2,-5,1,1,0,-7,1,2,1852,1,2,1,2,1,1,1,2,2,1,1,2,1852,2,0,1,1,2,1,1,2,-2
"1853",3654,2.75,3,0,0,-2,-2,-5,40763.2123159851,6,2.04709546360792,4,1,1,0,-7,1,1,2,0,2,1,1,1,2,0,1853,3,0,0,1,1,2,-2,-2,-5,0,1,0,-7,40763.2123159851,6,2.04709546360792,4,1853,1,1,2,0,1,2,1,3,0,1,1,2,40763.2123159851,6,2.04709546360792,4,-2,-2,-5,0,1,0,-7,0,1,1853,1,2,1,2,0,1,1,2,2,1,1,2,1853,3,0,0,1,1,1,0,-2,-2
"1854",3658,2.75,2,0,1,1,1,-5,15181.6366762697,4,0.801585710170125,2,2,1,0,-7,1,2,2,1,2,1,1,1,2,1,1854,2,0,1,2,1,2,1,1,-5,1,1,0,-7,15181.6366762697,4,0.801585710170125,2,1854,1,1,2,1,2,2,1,2,0,2,1,2,15181.6366762697,4,0.801585710170125,2,1,1,-5,1,1,0,-7,1,2,1854,1,2,1,2,1,1,1,2,2,2,1,2,1854,2,0,1,1,2,1,1,1,1
"1855",3659,3,3,0,0,-2,-2,-5,8607.6522970138,6,0.563356321528846,1,1,1,0,-7,1,1,2,1,2,1,1,1,2,1,1855,3,0,0,1,1,2,-2,-2,-5,1,1,0,-7,8607.6522970138,6,0.563356321528846,1,1855,1,1,2,1,1,2,1,3,0,1,1,2,8607.6522970138,6,0.563356321528846,1,-2,-2,-5,1,1,0,-7,0,1,1855,1,2,1,2,1,1,1,2,2,1,1,2,1855,3,0,0,1,1,1,1,-2,-2
"1857",3664,4,1,1,0,1,1,-5,2796.6302183439,4,1.63622662684113,3,2,1,0,-7,1,1,1,1,2,1,1,1,1,1,1857,1,1,0,2,1,2,1,1,-5,1,1,0,-7,2796.6302183439,4,1.63622662684113,3,1857,1,1,1,1,1,1,1,1,1,1,1,2,2796.6302183439,4,1.63622662684113,3,1,1,-5,1,1,0,-7,0,2,1857,1,1,1,1,1,1,1,1,1,1,1,2,1857,1,1,0,1,2,1,1,1,1
"1858",3666,3.25,3,0,0,2,1,-5,0,6,0,1,2,1,0,-7,1,2,2,1,2,1,1,1,2,1,1858,3,0,0,2,1,2,2,1,-5,1,1,0,-7,0,6,0,1,1858,1,1,2,1,2,2,1,3,0,2,1,2,0,6,0,1,2,1,-5,1,1,0,-7,0,2,1858,1,2,1,2,1,1,1,2,2,2,1,2,1858,3,0,0,1,2,1,1,2,1
"1859",3667,4,2,0,1,-2,1,-5,18123.4215736989,4,1.32997047541579,2,2,0,0,6,1,1,2,1,2,1,1,1,2,1,1859,2,0,1,2,1,2,-2,1,-5,1,0,0,6,18123.4215736989,4,1.32997047541579,2,1859,1,1,2,1,1,2,1,2,0,1,1,2,18123.4215736989,4,1.32997047541579,2,-2,1,-5,1,0,0,6,1,2,1859,1,2,1,2,1,1,1,2,2,1,1,2,1859,2,0,1,1,2,1,1,-2,1
"1860",3669,2.75,3,0,0,2,2,-5,4815.6998234425,4,1.15510620675391,2,2,1,0,-7,1,2,2,1,2,1,0,1,2,1,1860,3,0,0,2,1,2,2,2,-5,1,1,0,-7,4815.6998234425,4,1.15510620675391,2,1860,1,0,2,1,2,2,1,3,0,2,1,2,4815.6998234425,4,1.15510620675391,2,2,2,-5,1,1,0,-7,0,2,1860,1,2,1,2,1,0,1,2,2,2,1,2,1860,3,0,0,0,2,1,1,2,2
"1864",3678,1.75,2,0,1,-2,-2,-5,27747.6726453367,4,0.767016784220213,2,2,1,0,-7,1,1,2,1,2,1,1,1,2,1,1864,2,0,1,2,1,2,-2,-2,-5,1,1,0,-7,27747.6726453367,4,0.767016784220213,2,1864,1,1,2,1,1,2,1,2,0,1,1,2,27747.6726453367,4,0.767016784220213,2,-2,-2,-5,1,1,0,-7,1,2,1864,1,2,1,2,1,1,1,2,2,1,1,2,1864,2,0,1,1,2,1,1,-2,-2
"1866",3681,3.5,2,0,1,1,1,-5,112071.468451702,4,7.98038138617695,5,2,0,0,6,1,1,2,0,2,1,1,1,2,0,1866,2,0,1,2,1,2,1,1,-5,0,0,0,6,112071.468451702,4,7.98038138617695,5,1866,1,1,2,0,1,2,1,2,0,1,1,2,112071.468451702,4,7.98038138617695,5,1,1,-5,0,0,0,6,1,2,1866,1,2,1,2,0,1,1,2,2,1,1,2,1866,2,0,1,1,2,1,0,1,1
"1868",3684,2,1,1,0,-2,1,-5,22838.8952619513,4,1.86260461312728,4,2,1,0,-7,1,1,1,1,2,1,0,1,1,1,1868,1,1,0,2,1,2,-2,1,-5,1,1,0,-7,22838.8952619513,4,1.86260461312728,4,1868,1,0,1,1,1,1,1,1,1,1,1,2,22838.8952619513,4,1.86260461312728,4,-2,1,-5,1,1,0,-7,0,2,1868,1,1,1,1,1,0,1,1,1,1,1,2,1868,1,1,0,0,2,1,1,-2,1
"1869",3685,2,2,0,1,-2,1,-5,116323.703882945,4,7.93180251037862,5,2,1,0,-7,1,2,2,1,2,1,0,1,2,1,1869,2,0,1,2,1,2,-2,1,-5,1,1,0,-7,116323.703882945,4,7.93180251037862,5,1869,1,0,2,1,2,2,1,2,0,2,1,2,116323.703882945,4,7.93180251037862,5,-2,1,-5,1,1,0,-7,1,2,1869,1,2,1,2,1,0,1,2,2,2,1,2,1869,2,0,1,0,2,1,1,-2,1
"1873",3689,3,3,0,0,1,1,-5,4006.656609851,6,0.0516962253772439,2,1,1,0,-7,1,1,2,1,2,1,1,1,2,1,1873,3,0,0,1,1,2,1,1,-5,1,1,0,-7,4006.656609851,6,0.0516962253772439,2,1873,1,1,2,1,1,2,1,3,0,1,1,2,4006.656609851,6,0.0516962253772439,2,1,1,-5,1,1,0,-7,0,1,1873,1,2,1,2,1,1,1,2,2,1,1,2,1873,3,0,0,1,1,1,1,1,1
"1877",3699,2.25,1,1,0,-2,-2,-5,4554.69026450362,3,0,1,1,1,0,-7,1,1,1,1,2,1,0,1,1,1,1877,1,1,0,1,1,2,-2,-2,-5,1,1,0,-7,4554.69026450362,3,0,1,1877,1,0,1,1,1,1,1,1,1,1,1,2,4554.69026450362,3,0,1,-2,-2,-5,1,1,0,-7,0,1,1877,1,1,1,1,1,0,1,1,1,1,1,2,1877,1,1,0,0,1,1,1,-2,-2
"1878",3700,3.25,3,0,0,-2,-2,-5,21298.8907594492,4,0,2,2,0,0,5,1,2,2,0,2,1,1,1,2,0,1878,3,0,0,2,1,2,-2,-2,-5,0,0,0,5,21298.8907594492,4,0,2,1878,1,1,2,0,2,2,1,3,0,2,1,2,21298.8907594492,4,0,2,-2,-2,-5,0,0,0,5,0,2,1878,1,2,1,2,0,1,1,2,2,2,1,2,1878,3,0,0,1,2,1,0,-2,-2
"1879",3701,3,3,0,0,2,-2,-5,34298.385292466,4,2.53344503493643,4,2,0,0,5,0,2,2,0,2,1,0,0,2,0,1879,3,0,0,2,1,2,2,-2,-5,0,0,0,5,34298.385292466,4,2.53344503493643,4,1879,0,0,2,0,2,2,0,3,0,2,1,2,34298.385292466,4,2.53344503493643,4,2,-2,-5,0,0,0,5,0,2,1879,0,2,0,2,0,0,0,2,2,2,1,2,1879,3,0,0,0,2,0,0,2,-2
"1880",3703,1.75,2,0,1,2,-2,-5,41322.348943616,4,1.13170447842703,3,2,1,0,-7,1,2,2,0,2,1,1,1,2,0,1880,2,0,1,2,1,2,2,-2,-5,0,1,0,-7,41322.348943616,4,1.13170447842703,3,1880,1,1,2,0,2,2,1,2,0,2,1,2,41322.348943616,4,1.13170447842703,3,2,-2,-5,0,1,0,-7,1,2,1880,1,2,1,2,0,1,1,2,2,2,1,2,1880,2,0,1,1,2,1,0,2,-2
"1884",3708,1.5,2,0,1,1,1,-5,12101.9704836848,4,1.05407059570229,2,1,1,0,-7,0,1,2,1,2,1,0,0,2,1,1884,2,0,1,1,1,2,1,1,-5,1,1,0,-7,12101.9704836848,4,1.05407059570229,2,1884,0,0,2,1,1,2,0,2,0,1,1,2,12101.9704836848,4,1.05407059570229,2,1,1,-5,1,1,0,-7,1,1,1884,0,2,0,2,1,0,0,2,2,1,1,2,1884,2,0,1,0,1,0,1,1,1
"1885",3710,3.25,4,0,0,-2,-2,-5,29426.7742064235,6,2.84252536479129,3,1,1,0,-7,1,1,2,1,2,1,1,1,2,1,1885,4,0,0,1,1,2,-2,-2,-5,1,1,0,-7,29426.7742064235,6,2.84252536479129,3,1885,1,1,2,1,1,2,1,4,0,1,1,2,29426.7742064235,6,2.84252536479129,3,-2,-2,-5,1,1,0,-7,0,1,1885,1,2,1,2,1,1,1,2,2,1,1,2,1885,4,0,0,1,1,1,1,-2,-2
"1887",3713,1.5,2,0,1,2,2,-5,5819.60966446163,2,0.783697987734756,2,2,1,0,-7,1,2,2,1,2,1,1,1,2,1,1887,2,0,1,2,1,2,2,2,-5,1,1,0,-7,5819.60966446163,2,0.783697987734756,2,1887,1,1,2,1,2,2,1,2,0,2,1,2,5819.60966446163,2,0.783697987734756,2,2,2,-5,1,1,0,-7,1,2,1887,1,2,1,2,1,1,1,2,2,2,1,2,1887,2,0,1,1,2,1,1,2,2
"1888",3718,3.25,3,0,0,1,1,-5,10965.9226632287,4,0.949203309570524,2,1,1,0,-7,1,1,2,1,2,1,1,1,2,1,1888,3,0,0,1,1,2,1,1,-5,1,1,0,-7,10965.9226632287,4,0.949203309570524,2,1888,1,1,2,1,1,2,1,3,0,1,1,2,10965.9226632287,4,0.949203309570524,2,1,1,-5,1,1,0,-7,0,1,1888,1,2,1,2,1,1,1,2,2,1,1,2,1888,3,0,0,1,1,1,1,1,1
"1890",3721,3.25,1,1,0,-2,-2,-5,16593.2716697783,3,0,1,1,1,0,-7,1,1,1,1,2,1,1,1,1,1,1890,1,1,0,1,1,2,-2,-2,-5,1,1,0,-7,16593.2716697783,3,0,1,1890,1,1,1,1,1,1,1,1,1,1,1,2,16593.2716697783,3,0,1,-2,-2,-5,1,1,0,-7,0,1,1890,1,1,1,1,1,1,1,1,1,1,1,2,1890,1,1,0,1,1,1,1,-2,-2
"1894",3730,2.5,1,1,0,-2,-2,-5,57896.607785883,4,2.5668048408428,4,2,0,0,5,1,2,1,0,2,1,1,1,1,0,1894,1,1,0,2,1,2,-2,-2,-5,0,0,0,5,57896.607785883,4,2.5668048408428,4,1894,1,1,1,0,2,1,1,1,1,2,1,2,57896.607785883,4,2.5668048408428,4,-2,-2,-5,0,0,0,5,0,2,1894,1,1,1,1,0,1,1,1,1,2,1,2,1894,1,1,0,1,2,1,0,-2,-2
"1896",3734,3.25,3,0,0,2,2,-5,0,6,0.376199220652025,1,2,1,0,-7,1,1,2,1,2,1,0,1,2,1,1896,3,0,0,2,1,2,2,2,-5,1,1,0,-7,0,6,0.376199220652025,1,1896,1,0,2,1,1,2,1,3,0,1,1,2,0,6,0.376199220652025,1,2,2,-5,1,1,0,-7,0,2,1896,1,2,1,2,1,0,1,2,2,1,1,2,1896,3,0,0,0,2,1,1,2,2
"1898",3742,3.25,2,0,1,-2,-2,-5,10180.7421171604,4,1.40335761957272,3,2,1,0,-7,1,1,2,0,2,1,1,1,2,0,1898,2,0,1,2,1,2,-2,-2,-5,0,1,0,-7,10180.7421171604,4,1.40335761957272,3,1898,1,1,2,0,1,2,1,2,0,1,1,2,10180.7421171604,4,1.40335761957272,3,-2,-2,-5,0,1,0,-7,1,2,1898,1,2,1,2,0,1,1,2,2,1,1,2,1898,2,0,1,1,2,1,0,-2,-2
"1899",3743,2.25,2,0,1,1,1,-5,513.536617440989,3,0,1,1,1,0,-7,1,1,2,1,2,1,0,1,2,1,1899,2,0,1,1,1,2,1,1,-5,1,1,0,-7,513.536617440989,3,0,1,1899,1,0,2,1,1,2,1,2,0,1,1,2,513.536617440989,3,0,1,1,1,-5,1,1,0,-7,1,1,1899,1,2,1,2,1,0,1,2,2,1,1,2,1899,2,0,1,0,1,1,1,1,1
"1902",3752,2,3,0,0,1,1,-5,26236.7280096975,4,1.03549254100558,3,2,1,0,-7,1,1,2,0,2,1,1,1,2,0,1902,3,0,0,2,1,2,1,1,-5,0,1,0,-7,26236.7280096975,4,1.03549254100558,3,1902,1,1,2,0,1,2,1,3,0,1,1,2,26236.7280096975,4,1.03549254100558,3,1,1,-5,0,1,0,-7,0,2,1902,1,2,1,2,0,1,1,2,2,1,1,2,1902,3,0,0,1,2,1,0,1,1
"1904",3755,3.5,3,0,0,-2,-2,-5,13496.2240314128,6,1.85534044961595,3,2,0,0,6,1,1,2,0,2,1,1,1,2,0,1904,3,0,0,2,1,2,-2,-2,-5,0,0,0,6,13496.2240314128,6,1.85534044961595,3,1904,1,1,2,0,1,2,1,3,0,1,1,2,13496.2240314128,6,1.85534044961595,3,-2,-2,-5,0,0,0,6,0,2,1904,1,2,1,2,0,1,1,2,2,1,1,2,1904,3,0,0,1,2,1,0,-2,-2
"1908",3763,3.75,2,0,1,-2,-2,-5,29008.4832750698,4,2.00265517476819,4,1,1,0,-7,1,1,2,1,2,1,1,1,2,1,1908,2,0,1,1,1,2,-2,-2,-5,1,1,0,-7,29008.4832750698,4,2.00265517476819,4,1908,1,1,2,1,1,2,1,2,0,1,1,2,29008.4832750698,4,2.00265517476819,4,-2,-2,-5,1,1,0,-7,1,1,1908,1,2,1,2,1,1,1,2,2,1,1,2,1908,2,0,1,1,1,1,1,-2,-2
"1909",3766,2,2,0,1,1,1,-5,21868.5586565678,4,1.06529302163087,2,2,1,0,-7,1,2,2,1,2,1,1,1,2,1,1909,2,0,1,2,1,2,1,1,-5,1,1,0,-7,21868.5586565678,4,1.06529302163087,2,1909,1,1,2,1,2,2,1,2,0,2,1,2,21868.5586565678,4,1.06529302163087,2,1,1,-5,1,1,0,-7,1,2,1909,1,2,1,2,1,1,1,2,2,2,1,2,1909,2,0,1,1,2,1,1,1,1
"1910",3769,3,1,1,0,1,1,-5,69131.0754337014,2,5.62729018992487,5,2,1,0,-7,0,1,1,1,2,1,0,0,1,1,1910,1,1,0,2,1,2,1,1,-5,1,1,0,-7,69131.0754337014,2,5.62729018992487,5,1910,0,0,1,1,1,1,0,1,1,1,1,2,69131.0754337014,2,5.62729018992487,5,1,1,-5,1,1,0,-7,0,2,1910,0,1,0,1,1,0,0,1,1,1,1,2,1910,1,1,0,0,2,0,1,1,1
"1911",3770,3.25,3,0,0,1,1,-5,22537.8725932293,4,0,2,2,1,0,-7,1,2,2,0,2,1,0,1,2,0,1911,3,0,0,2,1,2,1,1,-5,0,1,0,-7,22537.8725932293,4,0,2,1911,1,0,2,0,2,2,1,3,0,2,1,2,22537.8725932293,4,0,2,1,1,-5,0,1,0,-7,0,2,1911,1,2,1,2,0,0,1,2,2,2,1,2,1911,3,0,0,0,2,1,0,1,1
"1912",3771,3.25,2,0,1,2,2,-5,22223.5080714037,4,0.719339509836967,3,1,1,0,-7,1,2,2,1,2,1,1,1,2,1,1912,2,0,1,1,1,2,2,2,-5,1,1,0,-7,22223.5080714037,4,0.719339509836967,3,1912,1,1,2,1,2,2,1,2,0,2,1,2,22223.5080714037,4,0.719339509836967,3,2,2,-5,1,1,0,-7,1,1,1912,1,2,1,2,1,1,1,2,2,2,1,2,1912,2,0,1,1,1,1,1,2,2
"1913",3772,1.75,2,0,1,1,1,-5,23282.7459375892,4,1.54618118659261,3,2,1,0,-7,1,1,2,1,2,1,1,1,2,1,1913,2,0,1,2,1,2,1,1,-5,1,1,0,-7,23282.7459375892,4,1.54618118659261,3,1913,1,1,2,1,1,2,1,2,0,1,1,2,23282.7459375892,4,1.54618118659261,3,1,1,-5,1,1,0,-7,1,2,1913,1,2,1,2,1,1,1,2,2,1,1,2,1913,2,0,1,1,2,1,1,1,1
"1914",3773,2,3,0,0,1,1,-5,21066.8388691273,6,1.09299694187621,2,1,1,0,-7,1,1,2,0,2,1,1,1,2,0,1914,3,0,0,1,1,2,1,1,-5,0,1,0,-7,21066.8388691273,6,1.09299694187621,2,1914,1,1,2,0,1,2,1,3,0,1,1,2,21066.8388691273,6,1.09299694187621,2,1,1,-5,0,1,0,-7,0,1,1914,1,2,1,2,0,1,1,2,2,1,1,2,1914,3,0,0,1,1,1,0,1,1
"1915",3775,3.5,2,0,1,2,1,-5,0,4,0.862636003469994,2,2,1,0,-7,1,1,2,1,2,1,1,1,2,1,1915,2,0,1,2,1,2,2,1,-5,1,1,0,-7,0,4,0.862636003469994,2,1915,1,1,2,1,1,2,1,2,0,1,1,2,0,4,0.862636003469994,2,2,1,-5,1,1,0,-7,1,2,1915,1,2,1,2,1,1,1,2,2,1,1,2,1915,2,0,1,1,2,1,1,2,1
"1916",3779,2,2,0,1,1,-2,-5,17574.8183684669,4,2.41010846976227,3,2,1,0,-7,1,1,2,1,2,1,1,1,2,1,1916,2,0,1,2,1,2,1,-2,-5,1,1,0,-7,17574.8183684669,4,2.41010846976227,3,1916,1,1,2,1,1,2,1,2,0,1,1,2,17574.8183684669,4,2.41010846976227,3,1,-2,-5,1,1,0,-7,1,2,1916,1,2,1,2,1,1,1,2,2,1,1,2,1916,2,0,1,1,2,1,1,1,-2
"1918",3782,2.5,3,0,0,1,1,-5,11021.4604169077,4,0.390229051250391,1,1,1,0,-7,1,1,2,1,2,1,1,1,2,1,1918,3,0,0,1,1,2,1,1,-5,1,1,0,-7,11021.4604169077,4,0.390229051250391,1,1918,1,1,2,1,1,2,1,3,0,1,1,2,11021.4604169077,4,0.390229051250391,1,1,1,-5,1,1,0,-7,0,1,1918,1,2,1,2,1,1,1,2,2,1,1,2,1918,3,0,0,1,1,1,1,1,1
"1919",3783,3.25,2,0,1,2,2,-5,25389.2528969649,2,1.08923232770366,3,2,0,0,2,1,2,2,1,2,1,1,1,2,1,1919,2,0,1,2,1,2,2,2,-5,1,0,0,2,25389.2528969649,2,1.08923232770366,3,1919,1,1,2,1,2,2,1,2,0,2,1,2,25389.2528969649,2,1.08923232770366,3,2,2,-5,1,0,0,2,1,2,1919,1,2,1,2,1,1,1,2,2,2,1,2,1919,2,0,1,1,2,1,1,2,2
"1920",3785,2.5,3,0,0,1,1,-5,2559.46038679187,4,0.906014586401927,2,1,1,0,-7,1,1,2,1,2,1,1,1,2,1,1920,3,0,0,1,1,2,1,1,-5,1,1,0,-7,2559.46038679187,4,0.906014586401927,2,1920,1,1,2,1,1,2,1,3,0,1,1,2,2559.46038679187,4,0.906014586401927,2,1,1,-5,1,1,0,-7,0,1,1920,1,2,1,2,1,1,1,2,2,1,1,2,1920,3,0,0,1,1,1,1,1,1
"1922",3791,2.5,3,0,0,-2,1,-5,37933.3881915122,4,2.58658591458183,4,2,0,0,2,1,1,2,1,2,1,0,1,2,1,1922,3,0,0,2,1,2,-2,1,-5,1,0,0,2,37933.3881915122,4,2.58658591458183,4,1922,1,0,2,1,1,2,1,3,0,1,1,2,37933.3881915122,4,2.58658591458183,4,-2,1,-5,1,0,0,2,0,2,1922,1,2,1,2,1,0,1,2,2,1,1,2,1922,3,0,0,0,2,1,1,-2,1
"1924",3799,3.5,3,0,0,-2,1,-5,59171.3395571057,6,0.516833560510327,3,1,1,0,-7,1,1,2,1,2,1,0,1,2,1,1924,3,0,0,1,1,2,-2,1,-5,1,1,0,-7,59171.3395571057,6,0.516833560510327,3,1924,1,0,2,1,1,2,1,3,0,1,1,2,59171.3395571057,6,0.516833560510327,3,-2,1,-5,1,1,0,-7,0,1,1924,1,2,1,2,1,0,1,2,2,1,1,2,1924,3,0,0,0,1,1,1,-2,1
"1925",3802,3.5,2,0,1,-2,2,-5,69387.7353336118,4,2.09470252457583,5,2,1,0,-7,1,1,2,1,2,2,1,1,2,1,1925,2,0,1,2,2,2,-2,2,-5,1,1,0,-7,69387.7353336118,4,2.09470252457583,5,1925,1,1,2,1,1,2,1,2,0,1,2,2,69387.7353336118,4,2.09470252457583,5,-2,2,-5,1,1,0,-7,1,2,1925,1,2,1,2,1,1,1,2,2,1,2,2,1925,2,0,1,1,2,1,1,-2,2
"1926",3803,2.5,2,0,1,2,-2,-5,26550.0189214136,2,2.28645713148872,3,1,1,0,-7,1,1,2,1,2,1,1,1,2,1,1926,2,0,1,1,1,2,2,-2,-5,1,1,0,-7,26550.0189214136,2,2.28645713148872,3,1926,1,1,2,1,1,2,1,2,0,1,1,2,26550.0189214136,2,2.28645713148872,3,2,-2,-5,1,1,0,-7,1,1,1926,1,2,1,2,1,1,1,2,2,1,1,2,1926,2,0,1,1,1,1,1,2,-2
"1927",3806,2.75,2,0,1,-2,1,-5,2352.23902248348,4,0.373632482979199,1,1,1,0,-7,1,2,2,1,2,1,1,1,2,1,1927,2,0,1,1,1,2,-2,1,-5,1,1,0,-7,2352.23902248348,4,0.373632482979199,1,1927,1,1,2,1,2,2,1,2,0,2,1,2,2352.23902248348,4,0.373632482979199,1,-2,1,-5,1,1,0,-7,1,1,1927,1,2,1,2,1,1,1,2,2,2,1,2,1927,2,0,1,1,1,1,1,-2,1
"1929",3815,2.5,1,1,0,2,2,-5,122287.074610283,2,6.9996112310739,5,2,1,0,-7,1,1,1,1,2,1,1,1,1,1,1929,1,1,0,2,1,2,2,2,-5,1,1,0,-7,122287.074610283,2,6.9996112310739,5,1929,1,1,1,1,1,1,1,1,1,1,1,2,122287.074610283,2,6.9996112310739,5,2,2,-5,1,1,0,-7,0,2,1929,1,1,1,1,1,1,1,1,1,1,1,2,1929,1,1,0,1,2,1,1,2,2
"1934",3821,2.75,2,0,1,-2,1,-5,6163.53129891831,4,0.000411421473303364,1,2,1,0,-7,1,1,2,1,2,1,1,1,2,1,1934,2,0,1,2,1,2,-2,1,-5,1,1,0,-7,6163.53129891831,4,0.000411421473303364,1,1934,1,1,2,1,1,2,1,2,0,1,1,2,6163.53129891831,4,0.000411421473303364,1,-2,1,-5,1,1,0,-7,1,2,1934,1,2,1,2,1,1,1,2,2,1,1,2,1934,2,0,1,1,2,1,1,-2,1
"1936",3824,2.75,1,1,0,-2,1,-5,134078.700392059,4,8.21642692315935,5,2,0,0,5,1,1,1,1,2,1,1,1,1,1,1936,1,1,0,2,1,2,-2,1,-5,1,0,0,5,134078.700392059,4,8.21642692315935,5,1936,1,1,1,1,1,1,1,1,1,1,1,2,134078.700392059,4,8.21642692315935,5,-2,1,-5,1,0,0,5,0,2,1936,1,1,1,1,1,1,1,1,1,1,1,2,1936,1,1,0,1,2,1,1,-2,1
"1937",3825,4,1,1,0,1,1,-5,50609.1501129246,4,4.57346263528381,5,2,1,0,-7,1,1,1,1,2,1,0,1,1,1,1937,1,1,0,2,1,2,1,1,-5,1,1,0,-7,50609.1501129246,4,4.57346263528381,5,1937,1,0,1,1,1,1,1,1,1,1,1,2,50609.1501129246,4,4.57346263528381,5,1,1,-5,1,1,0,-7,0,2,1937,1,1,1,1,1,0,1,1,1,1,1,2,1937,1,1,0,0,2,1,1,1,1
"1939",3830,3.25,3,0,0,-2,-2,-5,13026.3365369002,4,0.449474118076133,2,2,1,0,-7,1,2,2,1,2,1,1,1,2,1,1939,3,0,0,2,1,2,-2,-2,-5,1,1,0,-7,13026.3365369002,4,0.449474118076133,2,1939,1,1,2,1,2,2,1,3,0,2,1,2,13026.3365369002,4,0.449474118076133,2,-2,-2,-5,1,1,0,-7,0,2,1939,1,2,1,2,1,1,1,2,2,2,1,2,1939,3,0,0,1,2,1,1,-2,-2
