"","Code","Description"
"956","o5g4","G4. Parent/PCG's ability to articulate answers"
"957","o5g5","G5. Parent/PCG's cooperation throughout most of interview"
"958","o5g6a","G6A. Parent/PCG appeared suspicious"
"959","o5g6b","G6B. Parent/PCG appeared uncommunicative"
"960","o5g6c","G6C. Parent/PCG appeared anxious/nervous"
"961","o5g6d","G6D. Parent/PCG appeared hostile"
"962","o5g6e","G6E. Parent/PCG appeared to be on drugs"
"963","o5g7","G7. Anyone else present during the interview"
"964","o5notinhou","se Flag: Interviewer indicated home visit occured in location other than PCG's resi"
"965","o5FamAtCA","Flag: Family present at Child Assessment, may interfere"
"966","o5FamAtCI","Flag: Family present at Child Interview, may interfere"
"967","o5FamAtInt","Flag: Family present during interview, may interfere"
"968","o5c10a_1","C10A_1. Frayed electrical wires observed inside home"
"969","o5c10a_2","C10A_2. Mice or rats observed inside home"
"970","o5c10a_3","C10A_3. Broken glass observed inside home"
"971","o5c10a_4","C10A_4. Poisonous substances within children's reach observed inside home"
"972","o5c10a_5","C10A_5. Falling plaster observed inside home"
"973","o5c10a_6","C10A_6. Broken stairs observed inside home"
"974","o5c10a_7","C10A_7. Peeling paint observed inside home"
"975","o5c10a_8","C10A_8. Cleaning materials left out observed inside home"
"976","o5c10a_9","C10A_9. Flames and heat within reach of young children observed inside home"
"977","o5c10a_10","C10A_10. Weapons (guns or knives) within reach of children observed inside home"
"978","o5c10a_91","C10A_91. Other hazardous conditions observed inside home"
"979","o5c10a_101","C10A_101. Roaches observed inside home"
"980","o5c10a_102","C10A_102. Obstructive objects on floor observed inside home"
"981","o5d1_1","D1_1. Child's clothing was dirty-unkempt"
"982","o5d1_2","D1_2. Child's clothing was dirty due to playing/eating"
"983","o5d1_3","D1_3. Child's clothing was worn, but mended or not ripped or torn"
"984","o5d1_4","D1_4. Child's clothing was worn, but not mended, obvious rips/tears"
"985","o5d1_5","D1_5. Child's clothing was too tight for comfortable fit"
"986","o5d1_6","D1_6. Child's clothing was too large"
"987","o5d1_7","D1_7. Child's clothing was too light for indoor temperature (underdressed)"
"988","o5d1_8","D1_8. Child's clothing was too warm for indoor temperature (overdressed)"
"989","o5d1_10","D1_10. None of the above apply"
"990","o5d1_91","D1_91. Other negative conditions of child's clothing"
"991","o5g8_1","G8_1. Father present during interview"
"992","o5g8_2","G8_2. Other family members present during interview"
"993","o5g8_3","G8_3. Friends present during interview"
"994","o5oint","Constructed - Was household observed at 9-year follow-up?"
"995","o5_intmon","Interview Month for Y9 Home Observations"
"996","o5_intyr","Interview Year for Y9 Home Observations"
"997","ck5saliva","Focal Child Contributed Saliva Sample During Y9 Home Visit?"
